kosul_id,dagilim,varyans_orani,n1,n2,etki_buyuklugu,student_t,welch_t,mann_whitney,permutasyon,bootstrap_t
44,normal,4,15,60,0.5,0.364,0.7003333333333334,0.478,0.6773333333333333,0.6896666666666667
45,skew_normal,1,10,10,0.0,0.05266666666666667,0.049,0.04633333333333333,0.057,0.045
46,skew_normal,1,10,10,0.2,0.06466666666666666,0.06233333333333333,0.06433333333333334,0.06633333333333333,0.058
47,skew_normal,1,10,10,0.5,0.19166666666666668,0.188,0.174,0.19066666666666668,0.171
48,skew_normal,1,30,30,0.0,0.049666666666666665,0.049,0.045,0.051666666666666666,0.04533333333333334
49,skew_normal,1,30,30,0.2,0.12533333333333332,0.124,0.12233333333333334,0.125,0.121
50,skew_normal,1,30,30,0.5,0.498,0.49733333333333335,0.532,0.5026666666666667,0.49933333333333335
51,skew_normal,1,100,100,0.0,0.052,0.051333333333333335,0.052,0.052333333333333336,0.054
52,skew_normal,1,100,100,0.2,0.28933333333333333,0.28933333333333333,0.316,0.2846666666666667,0.2856666666666667
53,skew_normal,1,100,100,0.5,0.9416666666666667,0.9416666666666667,0.9626666666666667,0.9406666666666667,0.9393333333333334
54,skew_normal,1,10,50,0.0,0.04566666666666667,0.06166666666666667,0.04466666666666667,0.050666666666666665,0.058333333333333334
55,skew_normal,1,10,50,0.2,0.09566666666666666,0.12333333333333334,0.10466666666666667,0.10966666666666666,0.11366666666666667
56,skew_normal,1,10,50,0.5,0.31533333333333335,0.32366666666666666,0.3373333333333333,0.303,0.297
57,skew_normal,1,15,60,0.0,0.042666666666666665,0.048,0.042333333333333334,0.042666666666666665,0.043666666666666666
58,skew_normal,1,15,60,0.2,0.108,0.13233333333333333,0.12066666666666667,0.126,0.12533333333333332
59,skew_normal,1,15,60,0.5,0.4236666666666667,0.422,0.44333333333333336,0.4103333333333333,0.4023333333333333
60,skew_normal,2,10,10,0.0,0.059,0.05533333333333333,0.050333333333333334,0.057666666666666665,0.04933333333333333
61,skew_normal,2,10,10,0.2,0.06733333333333333,0.060333333333333336,0.05533333333333333,0.068,0.053
62,skew_normal,2,10,10,0.5,0.162,0.15266666666666667,0.13733333333333334,0.16433333333333333,0.14066666666666666
63,skew_normal,2,30,30,0.0,0.05333333333333334,0.052333333333333336,0.06533333333333333,0.05366666666666667,0.051666666666666666
64,skew_normal,2,30,30,0.2,0.11,0.10933333333333334,0.07366666666666667,0.109,0.107
65,skew_normal,2,30,30,0.5,0.4723333333333333,0.4693333333333333,0.38533333333333336,0.4716666666666667,0.458
66,skew_normal,2,100,100,0.0,0.04666666666666667,0.04633333333333333,0.09333333333333334,0.04766666666666667,0.04533333333333334
67,skew_normal,2,100,100,0.2,0.26866666666666666,0.2683333333333333,0.12766666666666668,0.26766666666666666,0.2703333333333333
68,skew_normal,2,100,100,0.5,0.9496666666666667,0.9496666666666667,0.8786666666666667,0.948,0.946
69,skew_normal,2,10,50,0.0,0.016,0.05733333333333333,0.030666666666666665,0.04066666666666666,0.055
70,skew_normal,2,10,50,0.2,0.028333333333333332,0.12533333333333332,0.03766666666666667,0.10366666666666667,0.12333333333333334
71,skew_normal,2,10,50,0.5,0.25533333333333336,0.437,0.2856666666666667,0.3893333333333333,0.41633333333333333
72,skew_normal,2,15,60,0.0,0.018,0.052,0.030666666666666665,0.046,0.051333333333333335
73,skew_normal,2,15,60,0.2,0.051,0.158,0.053,0.138,0.15166666666666667
74,skew_normal,2,15,60,0.5,0.37,0.5393333333333333,0.36733333333333335,0.5086666666666667,0.5296666666666666
75,skew_normal,4,10,10,0.0,0.056666666666666664,0.051666666666666666,0.062,0.05733333333333333,0.043333333333333335
76,skew_normal,4,10,10,0.2,0.065,0.058,0.05333333333333334,0.06466666666666666,0.051333333333333335
77,skew_normal,4,10,10,0.5,0.16433333333333333,0.14633333333333334,0.117,0.167,0.13066666666666665
78,skew_normal,4,30,30,0.0,0.05733333333333333,0.05433333333333333,0.09933333333333333,0.057,0.05333333333333334
79,skew_normal,4,30,30,0.2,0.09466666666666666,0.093,0.05533333333333333,0.10033333333333333,0.08833333333333333
80,skew_normal,4,30,30,0.5,0.4856666666666667,0.48033333333333333,0.28933333333333333,0.488,0.461
81,skew_normal,4,100,100,0.0,0.049666666666666665,0.04933333333333333,0.194,0.052,0.049
82,skew_normal,4,100,100,0.2,0.2876666666666667,0.2866666666666667,0.07966666666666666,0.28933333333333333,0.291
83,skew_normal,4,100,100,0.5,0.9543333333333334,0.9543333333333334,0.7413333333333333,0.9536666666666667,0.952
84,skew_normal,4,10,50,0.0,0.006333333333333333,0.04933333333333333,0.017333333333333333,0.03833333333333333,0.04766666666666667
85,skew_normal,4,10,50,0.2,0.008666666666666666,0.166,0.015666666666666666,0.123,0.168
86,skew_normal,4,10,50,0.5,0.19566666666666666,0.593,0.21666666666666667,0.516,0.5803333333333334
87,skew_normal,4,15,60,0.0,0.004,0.047,0.032,0.03766666666666667,0.048
88,skew_normal,4,15,60,0.2,0.016,0.18433333333333332,0.018666666666666668,0.15766666666666668,0.18133333333333335
89,skew_normal,4,15,60,0.5,0.366,0.6996666666666667,0.3383333333333333,0.665,0.6946666666666667
90,t_dagilimi,1,10,10,0.0,0.049,0.04766666666666667,0.04533333333333334,0.05466666666666667,0.04033333333333333
91,t_dagilimi,1,10,10,0.2,0.074,0.07266666666666667,0.06866666666666667,0.078,0.06433333333333334
92,t_dagilimi,1,10,10,0.5,0.19633333333333333,0.19233333333333333,0.18966666666666668,0.194,0.17033333333333334
93,t_dagilimi,1,30,30,0.0,0.049666666666666665,0.04933333333333333,0.04633333333333333,0.05266666666666667,0.04733333333333333
94,t_dagilimi,1,30,30,0.2,0.125,0.125,0.13233333333333333,0.12566666666666668,0.12133333333333333
95,t_dagilimi,1,30,30,0.5,0.49033333333333334,0.48966666666666664,0.554,0.4836666666666667,0.4836666666666667
96,t_dagilimi,1,100,100,0.0,0.05266666666666667,0.05266666666666667,0.051,0.05333333333333334,0.050333333333333334
97,t_dagilimi,1,100,100,0.2,0.2836666666666667,0.2833333333333333,0.3413333333333333,0.281,0.2796666666666667
98,t_dagilimi,1,100,100,0.5,0.9333333333333333,0.9333333333333333,0.9726666666666667,0.9326666666666666,0.9306666666666666
99,t_dagilimi,1,10,50,0.0,0.055,0.05366666666666667,0.04666666666666667,0.056,0.04933333333333333
100,t_dagilimi,1,10,50,0.2,0.10266666666666667,0.09966666666666667,0.10233333333333333,0.10266666666666667,0.08966666666666667
101,t_dagilimi,1,10,50,0.5,0.31,0.30966666666666665,0.348,0.322,0.29033333333333333
102,t_dagilimi,1,15,60,0.0,0.04733333333333333,0.04466666666666667,0.04133333333333333,0.046,0.03966666666666667
103,t_dagilimi,1,15,60,0.2,0.11,0.10966666666666666,0.11733333333333333,0.11133333333333334,0.10166666666666667
104,t_dagilimi,1,15,60,0.5,0.425,0.414,0.4706666666666667,0.42,0.39766666666666667
105,t_dagilimi,2,10,10,0.0,0.052333333333333336,0.050333333333333334,0.048,0.05466666666666667,0.042
106,t_dagilimi,2,10,10,0.2,0.06633333333333333,0.06233333333333333,0.06766666666666667,0.07466666666666667,0.056666666666666664
107,t_dagilimi,2,10,10,0.5,0.209,0.20133333333333334,0.20466666666666666,0.212,0.182
108,t_dagilimi,2,30,30,0.0,0.051333333333333335,0.051333333333333335,0.05366666666666667,0.05366666666666667,0.049666666666666665
109,t_dagilimi,2,30,30,0.2,0.12533333333333332,0.12233333333333334,0.13666666666666666,0.122,0.12
110,t_dagilimi,2,30,30,0.5,0.48,0.4786666666666667,0.538,0.4816666666666667,0.472
111,t_dagilimi,2,100,100,0.0,0.048666666666666664,0.048666666666666664,0.049,0.050666666666666665,0.04733333333333333
112,t_dagilimi,2,100,100,0.2,0.30033333333333334,0.30033333333333334,0.369,0.2986666666666667,0.2956666666666667
113,t_dagilimi,2,100,100,0.5,0.938,0.938,0.9716666666666667,0.9363333333333334,0.9376666666666666
114,t_dagilimi,2,10,50,0.0,0.016,0.049666666666666665,0.02666666666666667,0.046,0.046
115,t_dagilimi,2,10,50,0.2,0.042666666666666665,0.10166666666666667,0.06833333333333333,0.099,0.094
116,t_dagilimi,2,10,50,0.5,0.2703333333333333,0.445,0.38533333333333336,0.43933333333333335,0.42233333333333334
117,t_dagilimi,2,15,60,0.0,0.023,0.05333333333333334,0.03266666666666666,0.053,0.05366666666666667
118,t_dagilimi,2,15,60,0.2,0.06633333333333333,0.13666666666666666,0.10666666666666667,0.135,0.13066666666666665
119,t_dagilimi,2,15,60,0.5,0.3983333333333333,0.566,0.547,0.5603333333333333,0.5506666666666666
120,t_dagilimi,4,10,10,0.0,0.056,0.049666666666666665,0.051,0.059666666666666666,0.04066666666666666
121,t_dagilimi,4,10,10,0.2,0.08133333333333333,0.075,0.07566666666666666,0.086,0.06233333333333333
122,t_dagilimi,4,10,10,0.5,0.20333333333333334,0.18633333333333332,0.204,0.21166666666666667,0.16566666666666666
123,t_dagilimi,4,30,30,0.0,0.049,0.04833333333333333,0.04733333333333333,0.051,0.042
124,t_dagilimi,4,30,30,0.2,0.11733333333333333,0.116,0.13366666666666666,0.11866666666666667,0.10933333333333334
125,t_dagilimi,4,30,30,0.5,0.49933333333333335,0.49133333333333334,0.573,0.5086666666666667,0.482
126,t_dagilimi,4,100,100,0.0,0.056666666666666664,0.056,0.06133333333333333,0.05633333333333333,0.058
127,t_dagilimi,4,100,100,0.2,0.311,0.30933333333333335,0.37633333333333335,0.307,0.30433333333333334
128,t_dagilimi,4,100,100,0.5,0.9356666666666666,0.935,0.972,0.9336666666666666,0.9313333333333333
